model,mse,nmse,nmse_db,runtime_ms,n_params
ISTA,0.029508983017876744,0.29328950867056847,-5.327034719937802,1.0215827399952104,0
FISTA,0.008088694070465863,0.07952068652957678,-10.99519879180162,1.1216951200003678,0
LISTA,0.0007400358008453622,0.00749554781941697,-21.251966208203005,1.4048691200150643,6000016
ALISTA,9.943072018359089e-05,0.0010076506514451467,-29.966900100006,3.2124730000032287,32
HyperLISTA,5.1752233165558437e-08,5.12702268196108e-07,-62.90134761235484,5.7123338599922135,3
