model,nmse_db,psnr,ssim,n_params,runtime_ms,training
ISTA,-2.668600302059188,10.31619779442957,0.2920802578659977,0,1.9422220200067386,none
FISTA,-2.8361906811358635,10.469152223378753,0.3149667672041807,0,2.2053556400351226,none
StepThresholdISTA,-2.8527141786849928,10.509330079948517,0.3195724823233318,32,2.4602918400341878,final loss (0.5 min train)
LISTA-L2,-17.52081947859924,25.785768271227294,0.8905292729071427,14751760,3.6437732799822697,L2 intermediate (2.7 min train)
ALISTA,-2.6487088264905916,9.965988819409116,0.29851630634773374,32,5.533197199983988,analytic W + scalars (2.5 min train)
HyperLISTA,-2.849376939806768,10.292662411579148,0.3230830141884429,3,7.206542459971388,grid-tuned hparams (0.4 min tune)
