lambda,ista_val_nmse_db,fista_val_nmse_db
0.001,-2.649954542517662,-2.7567875683307648
0.003,-2.6551638543605804,-2.782635062932968
0.01,-2.6670572012662888,-2.8344728350639343
0.03,-2.656692758202553,-2.7982105910778046
0.1,-2.401989631354809,-2.320389151573181
0.2,-1.9669199362397194,-1.7774216011166573
0.3,-1.6061268895864487,-1.4197954013943672
0.5,-1.08847401663661,-0.9678719490766525
1.0,-0.4159734360873699,-0.39083108864724636
