lambda,ista_val_nmse_db,fista_val_nmse_db
0.001,-1.1498750299215317,-1.1601025201380253
0.003,-1.158763013780117,-1.1857111416757107
0.01,-1.1869457587599754,-1.2541061751544476
0.03,-1.245983473956585,-1.351420819759369
0.1,-1.3170365914702415,-1.379183866083622
0.2,-1.2809130102396011,-1.2672971710562706
0.3,-1.1934390477836132,-1.136837624013424
0.5,-0.982447661459446,-0.902217086404562
1.0,-0.5165805947035551,-0.47745553217828274
