model,nmse_db,psnr,ssim,n_params,runtime_ms,training
ISTA,-1.2985875089238226,11.080726232758925,0.16856454609702476,0,1.4313196199509548,none
FISTA,-1.3507275964069088,11.121382220509002,0.19971397432356913,0,1.5801173600630136,none
StepThresholdISTA,-1.4528937488299762,11.319010853572841,0.21090226139191365,32,1.5766181800427148,final loss (0.8 min train)
LISTA-L2,-18.539924702831,28.710635554222797,0.9715184893641343,12293136,2.9377494999789633,L2 intermediate (2.3 min train)
ALISTA,-1.151781500456433,11.139014631305844,0.21723811737134216,32,4.300619619971258,analytic W + scalars (2.4 min train)
HyperLISTA,-0.961626199511497,10.85989231186446,0.22444469399427924,3,5.028313139991951,grid-tuned hparams (0.3 min tune)
