model,nmse_db,psnr,ssim,n_params,runtime_ms,training
ISTA,-4.283893702535276,14.276812127716155,0.4489998021155067,0,1.7745501599711133,none
FISTA,-6.384163212581239,16.59225314620676,0.5740234259892054,0,2.132716359992628,none
StepThresholdISTA,-8.198204801466826,19.018559840721245,0.6453034473232432,32,2.0178959400072927,final loss (1.1 min train)
LISTA-L2,-19.04998370688872,30.35390417453474,0.8526823246852192,14751760,2.8559659399616066,L2 intermediate (2.3 min train)
ALISTA,-8.493840030644087,19.598667482699135,0.6593076236659916,32,4.997188240013202,analytic W + scalars (2.4 min train)
HyperLISTA,-8.588553051993,19.65924897387262,0.6631147996762845,3,8.1797536600061,grid-tuned hparams (0.5 min tune)
