lambda,ista_val_nmse_db,fista_val_nmse_db
0.001,-2.8596695214509964,-3.0262540131807327
0.003,-2.907854735851288,-3.1905321180820465
0.01,-3.0687619745731354,-3.7140166461467743
0.03,-3.460420608520508,-4.8176579028368
0.1,-4.254766866564751,-6.2758312821388245
0.3,-4.479779005050659,-5.558066040277481
1.0,-2.484181120991707,-2.612152472138405
3.0,-0.3946059290319681,-0.41225522942841053
10.0,0.0,0.0
30.0,0.0,0.0
