lambda,ista_val_nmse_db,fista_val_nmse_db
0.001,-1.125855267047882,-1.128631565719843
0.003,-1.127695731818676,-1.1330735459923744
0.01,-1.1320130825042725,-1.134911723434925
0.03,-1.130300547927618,-1.0908581502735615
0.1,-1.057518858462572,-0.8926476426422596
0.2,-0.9299461767077446,-0.70059984177351
0.3,-0.818982545286417,-0.5794708374887705
0.5,-0.6432169005274773,-0.4369846396148205
1.0,-0.3577541671693325,-0.26102027390152216
