model,nmse_db,psnr,ssim,n_params,runtime_ms,training
ISTA,-1.133235867412869,8.772778088681964,0.13356799445433967,0,1.4352290800161427,none
FISTA,-1.1360943212743126,8.722383279554212,0.13465731015038324,0,1.6230640000139829,none
StepThresholdISTA,-1.142024368697177,8.755553817807055,0.13662780966958682,32,1.525199559982866,final loss (0.3 min train)
LISTA-L2,-14.093756581870881,22.479244082024934,0.828289976676771,12293136,2.5359156999911647,L2 intermediate (2.4 min train)
ALISTA,-0.8466079166097189,8.369177458666318,0.12836674704949774,32,4.7863855399918975,analytic W + scalars (2.6 min train)
HyperLISTA,-0.2844167059189764,7.726360554949343,0.09082995361968382,3,4.780726079989108,grid-tuned hparams (0.3 min tune)
