lambda,ista_val_nmse_db,fista_val_nmse_db
0.001,-2.67356938123703,-2.8302432894706726
0.003,-2.7262199372053146,-3.004837080836296
0.01,-2.9058952927589417,-3.588246539235115
0.03,-3.3782748132944107,-5.035683825612068
0.1,-4.648720592260361,-8.171715319156647
0.3,-6.245427757501602,-8.654762506484985
1.0,-5.343199789524078,-5.715378016233444
3.0,-2.6502396687865257,-2.7762227952480316
10.0,-0.1210609027184546,-0.12709291325882077
30.0,0.0,0.0
