model,nmse_db,psnr,ssim,n_params,runtime_ms,training
ISTA,-6.2660720802095256,13.628949523149156,0.4521069843587885,0,1.6917353400003776,none
FISTA,-8.657471756437905,17.051416320062334,0.5669781135180243,0,2.065735539999878,none
StepThresholdISTA,-10.877967267498088,19.711796450603583,0.682462662728522,32,1.9080234200009727,final loss (1.0 min train)
LISTA-L2,-15.819712435098221,24.865035226122085,0.8227607214271447,14751760,2.8196548800042365,L2 intermediate (1.0 min train)
ALISTA,-10.990410955744354,20.227205155776126,0.6943057924024649,32,4.8326710800029105,analytic W + scalars (2.3 min train)
HyperLISTA,-11.398596110281094,20.452400857285824,0.7057005006924861,3,7.631226160010556,grid-tuned hparams (0.5 min tune)
