lambda,ista_val_nmse_db,fista_val_nmse_db
0.001,-2.8544955104589462,-3.011982560157776
0.003,-2.8923852145671844,-3.14788755774498
0.01,-3.0180021822452545,-3.5777522772550583
0.03,-3.3152924180030823,-4.478694885969162
0.1,-3.792264387011528,-5.5063356757164
0.2,-3.659738004207611,-4.82819290459156
0.3,-3.189277872443199,-3.802336633205414
0.5,-2.175588198006153,-2.2948611304163933
1.0,-0.6711935773491859,-0.6692450903356075
