model,nmse_db,psnr,ssim,n_params,runtime_ms,training
ISTA,-3.7410913239122894,13.469780477365415,0.4214155075085856,0,2.0884555000520777,none
FISTA,-5.380060872329596,14.79998808089739,0.5782404574584934,0,2.246343579972745,none
StepThresholdISTA,-7.7286007343427645,17.118020989637916,0.7334810919110706,32,2.433137940024608,final loss (1.2 min train)
LISTA-L2,-24.508635524582672,34.75153538950052,0.9916940003556938,14751760,3.6077798000042094,L2 intermediate (1.0 min train)
ALISTA,-9.832370354089072,19.22834962445576,0.8135025760023427,32,4.974380359999486,analytic W + scalars (1.5 min train)
HyperLISTA,-9.267444260379659,18.06684619826402,0.8202261462410256,3,6.466137819952564,grid-tuned hparams (0.4 min tune)
