model,nmse_db,psnr,ssim,n_params,runtime_ms,training
ISTA,-2.038752521625959,11.802678706862629,0.21636512983158324,0,1.2476588000026823,none
FISTA,-2.906710926360444,12.816709849329891,0.31422902169622785,0,1.7006162999950902,none
StepThresholdISTA,-3.999288827256584,14.168750777985446,0.42984210750830404,32,1.4722160000019358,final loss (0.9 min train)
LISTA-L2,-17.501126519675346,28.168831671790578,0.8826621843157006,12293136,2.665251640000861,L2 intermediate (2.0 min train)
ALISTA,-2.4584521473247936,12.924982281033252,0.3690638236623087,32,4.217879300003915,analytic W + scalars (2.3 min train)
HyperLISTA,-3.856645108230853,14.103968913766385,0.43123812579210286,3,6.27705676000005,grid-tuned hparams (0.3 min tune)
