lambda,ista_val_nmse_db,fista_val_nmse_db
0.001,-1.1533464640378952,-1.170478206127882
0.003,-1.1691736616194248,-1.216874834150076
0.01,-1.2216168083250523,-1.3575965091586113
0.03,-1.3495371267199516,-1.652734987437725
0.1,-1.6495319604873657,-2.244220294058323
0.3,-2.0174336209893227,-2.8460526913404465
1.0,-1.7652658000588417,-2.2500432059168816
3.0,-0.33855513762682676,-0.40970574878156185
10.0,0.0,0.0
30.0,0.0,0.0
