lambda,ista_val_nmse_db,fista_val_nmse_db
0.001,-1.135181337594986,-1.1569602340459824
0.003,-1.1557023972272873,-1.2181333415210247
0.01,-1.2255264557898045,-1.417310781776905
0.03,-1.4098726361989975,-1.907036378979683
0.1,-1.9410695657134056,-3.222019374370575
0.3,-2.964866802096367,-5.3935695588588715
1.0,-3.9640143364667892,-5.642861574888229
3.0,-2.379590943455696,-2.93276783823967
10.0,-0.0842171129770577,-0.10591382533311844
30.0,0.0,0.0
