model,nmse_db,psnr,ssim,n_params,runtime_ms,training
ISTA,-3.978006407596057,11.346988263647532,0.2583923466459188,0,1.2484840199977043,none
FISTA,-5.647228789968689,13.669736102975623,0.35002771512708747,0,1.4141033600026276,none
StepThresholdISTA,-7.749711487073724,16.10775741864034,0.5215473688502679,32,1.3969339600043895,final loss (0.8 min train)
LISTA-L2,-14.89096904015091,23.742200414605886,0.8143674962334588,12293136,2.2554777400000603,L2 intermediate (1.9 min train)
ALISTA,-5.08320806430185,13.077802636837532,0.3954068989067709,32,4.150876900002913,analytic W + scalars (2.1 min train)
HyperLISTA,-7.7030975934559205,16.172695973992482,0.5218347970048445,3,6.3036804200055485,grid-tuned hparams (0.3 min tune)
